"uri","did","subject","created_at"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kj55rzmn3j2n","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:w342borqxtyo2pul67ec2pwt","2024-01-17T00:00:39.870Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3k5flasepaf2w","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:w4dzg6tdavlznotnfa2vth6p","2023-08-20T15:20:32.478Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehapf2st2z","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:pcpi6qxk2way6nwduaagtih6","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3k5flbaayrv2r","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:cfvhhvw2gsevjqu2t5r5ixhe","2023-08-20T15:20:47.140Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehapez7e27","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:inatjjcm3vssdvkx27pvobhx","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3k5bi6y4gio2h","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:azrmmwkhztgcsx67h4uovdez","2023-08-19T00:15:11.372Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kjubsgw5bc2d","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:qjeavhlw222ppsre4rscd3n2","2024-01-26T04:43:42.832Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kkspm4wnnn2r","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:252n5cfhxlwdzzeixqw7tbem","2024-02-07T07:10:35.469Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kkresckjjy2d","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:wmpmziltyt3mcscfbvp7thzd","2024-02-06T18:24:31.782Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehapfebm26","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:nicszquuodcad4u6yhq5lls7","2023-12-12T17:22:59.355Z"
"at://did:plc:w4dzg6tdavlznotnfa2vth6p/app.bsky.graph.follow/3kkbgyth7qq2a","did:plc:w4dzg6tdavlznotnfa2vth6p","did:plc:eu4n4z4af2n7unq63wkfnk3n","2024-01-31T10:21:22.416Z"
"at://did:plc:w4dzg6tdavlznotnfa2vth6p/app.bsky.graph.follow/3kjy56b2xjg2k","did:plc:w4dzg6tdavlznotnfa2vth6p","did:plc:y32vdst3y7r4f4pkrveb7jhi","2024-01-27T17:31:27.570Z"
"at://did:plc:w4dzg6tdavlznotnfa2vth6p/app.bsky.graph.follow/3kdjnpmxuq42e","did:plc:w4dzg6tdavlznotnfa2vth6p","did:plc:un4pybvgkdftw222ro7d3bvj","2023-11-06T14:46:26.187Z"
"at://did:plc:w4dzg6tdavlznotnfa2vth6p/app.bsky.graph.follow/3kc7rz7ey5m2e","did:plc:w4dzg6tdavlznotnfa2vth6p","did:plc:u73yjlncle3um6o66jrs3yoo","2023-10-20T23:11:33.570Z"
"at://did:plc:w4dzg6tdavlznotnfa2vth6p/app.bsky.graph.follow/3kbvlac3a7b2c","did:plc:w4dzg6tdavlznotnfa2vth6p","did:plc:3vomhawgkjhtvw4euuxbll3r","2023-10-16T21:43:37.780Z"
"at://did:plc:w4dzg6tdavlznotnfa2vth6p/app.bsky.graph.follow/3kl3to37tc72u","did:plc:w4dzg6tdavlznotnfa2vth6p","did:plc:2wthnmtg722yctzqd6hgwfil","2024-02-10T22:17:13.429Z"
"at://did:plc:w4dzg6tdavlznotnfa2vth6p/app.bsky.graph.follow/3kbqjiomxfh2y","did:plc:w4dzg6tdavlznotnfa2vth6p","did:plc:yazbevg3wkzp5llnzb44tqgh","2023-10-14T21:29:13.289Z"
"at://did:plc:w4dzg6tdavlznotnfa2vth6p/app.bsky.graph.follow/3kbgk23mig32g","did:plc:w4dzg6tdavlznotnfa2vth6p","did:plc:wfssddsu5ibce34mwr7i4uuh","2023-10-10T22:12:19.780Z"
"at://did:plc:w4dzg6tdavlznotnfa2vth6p/app.bsky.graph.follow/3kcbvca72ws2c","did:plc:w4dzg6tdavlznotnfa2vth6p","did:plc:g4h62w5d7iqmfd55hwlttrdn","2023-10-21T19:15:37.082Z"
